Circuit,Nodes,Edges,Rare Signals,Vectors Generated,Time (Seconds)
c2670_T000,1705,3310,26,3,10.32
c2670_T001,1709,3330,27,3,10.2
c2670_T002,1705,3308,27,3,10.11
c2670_T003,1709,3316,23,3,10.03
c2670_T004,1715,3333,25,3,10.07
c2670_T005,1715,3337,27,3,10.13
c2670_T006,1709,3322,26,3,10.08
c2670_T007,1711,3321,26,3,10.23
c2670_T008,1711,3323,25,3,9.99
c2670_T009,1703,3303,27,3,9.94
c2670_T010,1709,3322,27,3,10.01
c2670_T011,1713,3334,27,3,10.02
c2670_T012,1703,3307,26,3,10.02
c2670_T013,1711,3327,27,3,9.99
c2670_T014,1709,3326,27,3,10.03
c2670_T015,1719,3349,25,3,10.06
c2670_T016,1709,3322,27,3,9.95
c2670_T017,1715,3329,26,3,10.03
c2670_T018,1709,3322,24,3,10.0
c2670_T019,1709,3324,25,3,10.02
c2670_T020,1711,3333,26,3,10.02
c2670_T021,1709,3320,26,3,10.01
c2670_T022,1715,3341,24,3,10.06
c2670_T023,1713,3330,27,3,10.06
c2670_T024,1709,3328,27,3,10.05
c2670_T025,1707,3313,27,3,9.95
c2670_T026,1713,3338,25,3,10.09
c2670_T027,1707,3315,26,3,9.97
c2670_T028,1709,3316,27,3,9.93
c2670_T029,1709,3324,26,3,10.01
c2670_T030,1707,3315,27,3,9.94
c2670_T031,1713,3330,27,3,10.04
c2670_T032,1709,3320,27,3,10.01
c2670_T033,1709,3320,25,3,9.97
c2670_T034,1707,3313,27,3,9.96
c2670_T035,1705,3302,27,3,9.91
c2670_T036,1703,3299,27,3,10.09
c2670_T037,1707,3313,27,3,9.93
c2670_T038,1705,3302,27,3,9.99
c2670_T039,1715,3337,26,3,10.01
c2670_T040,1711,3327,19,3,10.01
c2670_T041,1705,3310,27,3,9.98
c2670_T042,1709,3316,27,3,9.98
c2670_T043,1713,3328,26,3,10.06
c2670_T044,1707,3315,24,3,10.01
c2670_T045,1709,3320,27,3,9.98
c2670_T046,1711,3325,25,3,10.04
c2670_T047,1707,3315,26,3,10.02
c2670_T048,1709,3322,26,3,10.02
c2670_T049,1707,3313,27,3,9.96
c2670_T050,1709,3318,26,3,10.05
c2670_T051,1711,3321,21,3,9.96
c2670_T052,1709,3320,25,3,10.03
c2670_T053,1709,3322,27,3,9.99
c2670_T054,1707,3313,27,3,9.99
c2670_T055,1703,3299,27,3,9.94
c2670_T056,1707,3315,27,3,9.97
c2670_T057,1707,3309,27,3,9.96
c2670_T058,1711,3329,25,3,9.93
c2670_T059,1711,3321,25,3,9.99
c2670_T060,1713,3324,27,3,10.05
c2670_T061,1713,3334,25,3,554.09
c2670_T062,1705,3302,27,3,9.99
c2670_T063,1709,3322,27,3,9.99
c2670_T064,1711,3323,26,3,10.02
c2670_T065,1707,3315,26,3,9.89
c2670_T066,1709,3324,26,3,48.5
c2670_T067,1709,3318,25,3,9.95
c2670_T068,1707,3323,27,3,10.25
c2670_T069,1709,3316,27,3,10.12
c2670_T070,1705,3310,25,3,10.02
c2670_T071,1707,3313,27,3,10.06
c2670_T072,1707,3313,27,3,10.02
c2670_T073,1711,3333,27,3,10.01
c2670_T074,1709,3318,27,3,10.2
c2670_T075,1709,3318,27,3,10.16
c2670_T076,1707,3313,26,3,10.09
c2670_T077,1711,3325,25,3,10.37
c2670_T078,1723,3353,24,3,10.28
c2670_T079,1711,3321,27,3,10.31
c2670_T080,1717,3346,25,3,10.37
c2670_T081,1711,3323,25,3,10.08
c2670_T082,1721,3348,27,3,10.03
c2670_T083,1713,3340,26,3,10.01
c2670_T084,1715,3335,27,3,10.0
c2670_T085,1711,3321,26,3,9.91
c2670_T086,1709,3316,27,3,10.08
c2670_T087,1711,3319,26,3,9.97
c2670_T088,1709,3318,25,3,10.02
c2670_T089,1707,3315,27,3,10.0
c2670_T090,1707,3313,27,3,9.99
c2670_T091,1707,3313,25,3,9.94
c2670_T092,1707,3313,27,3,9.88
c2670_T093,1713,3330,26,3,10.01
c2670_T094,1707,3317,27,3,9.95
c2670_T095,1707,3317,27,3,9.99
c2670_T096,1705,3302,27,3,10.05
c2670_T097,1709,3316,30,3,10.01
c2670_T098,1711,3323,27,3,10.57
c2670_T099,1705,3310,27,3,10.78
c3540_T000,2330,5394,2313,3,17.05
c3540_T001,2332,5401,1,3,16.79
c3540_T002,2332,5399,1,3,16.74
c3540_T003,2330,5390,1,3,17.05
c3540_T004,2330,5390,1,3,17.1
c3540_T005,2336,5407,2321,3,18.13
c3540_T006,2330,5390,2321,3,17.14
c3540_T007,2334,5400,1,3,16.86
c3540_T008,2338,5418,1,3,17.38
c3540_T009,2332,5395,1,3,17.05
c3540_T010,2328,5387,1,3,17.18
c3540_T011,2330,5390,1,3,17.09
c3540_T012,2328,5387,1,3,17.11
c3540_T013,2332,5395,1,3,17.44
c3540_T014,2332,5393,1,3,17.26
c3540_T015,2334,5398,1,3,16.66
c3540_T016,2330,5390,1,3,16.67
c3540_T017,2336,5405,1,3,16.78
c3540_T018,2328,5387,1,3,17.1
c3540_T019,2330,5390,1,3,16.85
c3540_T020,2336,5401,1,3,16.75
c3540_T021,2332,5397,3,3,16.73
c3540_T022,2336,5403,1,3,16.79
c3540_T023,2328,5387,1,3,17.18
c3540_T024,2332,5393,1,3,16.79
c3540_T025,2332,5397,1,3,16.99
c3540_T026,2334,5396,1,3,16.82
c3540_T027,2332,5395,1,3,16.89
c3540_T028,2330,5390,1,3,16.92
c3540_T029,2334,5400,1,3,16.95
c3540_T030,2332,5393,1,3,16.88
c3540_T031,2330,5390,1,3,16.65
c3540_T032,2338,5406,1,3,16.96
c3540_T033,2334,5400,1,3,16.88
c3540_T034,2330,5390,1,3,16.87
c3540_T035,2334,5404,1,3,16.73
c3540_T036,2332,5395,2316,3,918.63
c3540_T037,2332,5395,1,3,918.16
c3540_T038,2336,5401,1,3,16.62
c3540_T039,2340,5407,1,3,16.67
c3540_T040,2332,5397,1,3,918.46
c3540_T041,2332,5395,1,3,1819.86
c3540_T042,2330,5392,1,3,917.21
c3540_T043,2330,5392,1,3,16.82
c3540_T044,2340,5413,1,3,775.52
c3540_T045,2332,5399,2315,3,918.86
c3540_T046,2332,5395,1,3,16.81
c3540_T047,2332,5395,1,3,376.76
c3540_T048,2332,5395,1,3,126.58
c3540_T049,2330,5390,1,3,16.87
c3540_T050,2338,5412,1,3,17.04
c3540_T051,2330,5390,1,3,16.96
c3540_T052,2338,5408,1,3,16.94
c3540_T053,2330,5390,1,3,16.86
c3540_T054,2334,5398,3,3,16.64
c3540_T055,2332,5393,1,3,16.84
c3540_T056,2338,5406,1,3,16.7
c3540_T057,2330,5394,1,3,16.73
c3540_T058,2330,5390,1,3,28.06
c3540_T059,2330,5392,1,3,17.37
c3540_T060,2332,5395,1,3,16.94
c3540_T061,2330,5392,1,3,16.75
c3540_T062,2330,5392,1,3,16.7
c3540_T063,2328,5387,1,3,16.97
c3540_T064,2330,5390,1,3,16.78
c3540_T065,2338,5404,1,3,16.91
c3540_T066,2334,5396,1,3,16.76
c3540_T067,2334,5398,1,3,16.79
c3540_T068,2328,5389,1,3,16.65
c3540_T069,2332,5395,1,3,63.75
c3540_T070,2336,5407,1,3,17.05
c3540_T071,2340,5411,1,3,16.81
c3540_T072,2330,5392,1,3,16.71
c3540_T073,2330,5390,1,3,16.86
c3540_T074,2328,5387,1,3,16.86
c3540_T075,2342,5412,1,3,16.68
c3540_T076,2330,5394,1,3,16.89
c3540_T077,2332,5393,1,3,16.71
c3540_T078,2332,5393,1,3,16.61
c3540_T079,2328,5387,1,3,16.82
c3540_T080,2330,5390,1,3,918.31
c3540_T081,2330,5392,1,3,16.76
c3540_T082,2338,5404,1,3,918.36
c3540_T083,2330,5390,2,3,16.94
c3540_T084,2332,5393,1,3,378.37
c3540_T085,2330,5392,1,3,16.51
c3540_T086,2332,5399,1,3,16.58
c3540_T087,2338,5402,1,3,16.72
c3540_T088,2330,5392,1,3,268.14
c3540_T089,2332,5395,1,3,16.6
c3540_T090,2332,5397,1,3,16.53
c3540_T091,2328,5387,3,3,16.47
c3540_T092,2332,5395,1,3,16.56
c3540_T093,2332,5399,1,3,918.4
c3540_T094,2330,5394,1,3,918.13
c3540_T095,2330,5390,1,3,16.74
c3540_T096,2332,5397,1,3,917.37
c3540_T097,2332,5397,2309,3,16.98
c3540_T098,2330,5390,1,3,306.67
c3540_T099,2332,5393,1,3,16.51
c5315_T000,4810,11126,375,3,34.61
c5315_T001,4812,11145,370,3,936.08
c5315_T002,4804,11117,365,3,941.19
c5315_T003,4810,11126,383,3,66.05
c5315_T004,4808,11131,320,3,35.09
c5315_T005,4812,11147,331,3,36.24
c5315_T006,4806,11122,361,3,35.65
c5315_T007,4806,11126,339,3,301.67
c5315_T008,4810,11146,325,3,34.8
c5315_T009,4810,11128,358,3,34.69
c5315_T010,4804,11123,359,3,34.82
c5315_T011,4806,11122,386,3,936.7
c5315_T012,4810,11140,362,3,936.73
c5315_T013,4806,11124,384,3,1835.78
c5315_T014,4810,11146,348,3,34.6
c5315_T015,4808,11137,349,3,326.31
c5315_T016,4808,11125,386,3,35.25
c5315_T017,4804,11117,392,3,34.95
c5315_T018,4804,11121,377,3,35.32
c5315_T019,4808,11137,345,3,34.84
c5315_T020,4808,11137,326,3,36.0
c5315_T021,4808,11123,362,3,35.07
c5315_T022,4812,11145,327,3,34.83
c5315_T023,4804,11123,375,3,35.64
c5315_T024,4806,11122,322,3,35.44
c5315_T025,4804,11117,386,3,36.11
c5315_T026,4812,11133,379,3,35.66
c5315_T027,4810,11134,395,3,34.68
c5315_T028,4806,11122,384,3,34.57
c5315_T029,4808,11127,372,3,34.46
c5315_T030,4808,11127,373,3,158.49
c5315_T031,4808,11135,381,3,35.87
c5315_T032,4804,11123,358,3,34.76
c5315_T033,4804,11129,330,3,34.55
c5315_T034,4806,11122,380,3,35.08
c5315_T035,4804,11129,350,3,34.87
c5315_T036,4804,11121,382,3,35.51
c5315_T037,4808,11125,380,3,35.48
c5315_T038,4802,11114,384,3,35.16
c5315_T039,4806,11126,382,3,34.88
c5315_T040,4804,11117,365,3,35.32
c5315_T041,4810,11136,312,3,34.61
c5315_T042,4806,11124,370,3,34.66
c5315_T043,4808,11135,335,3,34.86
c5315_T044,4810,11140,383,3,34.93
c5315_T045,4806,11124,360,3,35.07
c5315_T046,4808,11127,340,3,34.59
c5315_T047,4808,11135,365,3,34.66
c5315_T048,4804,11117,376,3,34.82
c5315_T049,4810,11130,353,3,34.73
c5315_T050,4812,11135,357,3,34.96
c5315_T051,4806,11130,373,3,34.76
c5315_T052,4804,11111,395,3,803.8
c5315_T053,4806,11132,389,3,34.59
c5315_T054,4804,11131,373,3,35.09
c5315_T055,4804,11119,377,3,34.98
c5315_T056,4804,11117,396,3,35.03
c5315_T057,4804,11123,393,3,35.39
c5315_T058,4806,11126,394,3,36.12
c5315_T059,4808,11127,383,3,35.13
c5315_T060,4806,11134,356,3,35.6
c5315_T061,4802,11114,393,3,35.45
c5315_T062,4808,11139,301,3,34.71
c5315_T063,4808,11127,379,3,35.02
c5315_T064,4804,11117,365,3,34.79
c5315_T065,4806,11122,395,3,35.92
c5315_T066,4806,11124,393,3,35.74
c5315_T067,4800,11111,392,3,34.74
c5315_T068,4802,11114,359,3,34.81
c5315_T069,4806,11126,391,3,35.68
c5315_T070,4804,11119,346,3,34.93
c5315_T071,4806,11124,392,3,34.82
c5315_T072,4804,11121,319,3,34.88
c5315_T073,4806,11122,365,3,34.68
c5315_T074,4814,11138,344,3,36.48
c5315_T075,4806,11122,393,3,34.96
c5315_T076,4808,11139,391,3,34.86
c5315_T077,4804,11121,369,3,35.35
c5315_T078,4818,11152,361,3,35.05
c5315_T079,4806,11122,395,3,35.07
c5315_T080,4804,11117,388,3,35.69
c5315_T081,4806,11134,372,3,38.99
c5315_T082,4808,11127,396,3,34.97
c5315_T083,4808,11123,393,3,34.84
c5315_T084,4806,11120,391,3,34.89
c5315_T085,4804,11117,373,3,34.77
c5315_T086,4806,11122,393,3,35.21
c5315_T087,4804,11117,379,3,34.72
